Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
2006,6,6.958,7.015,7.039,6.990,
2006,7,6.935,7.015,7.040,6.990,
2006,8,6.961,7.015,7.040,6.990,
2006,9,6.974,7.015,7.040,6.991,
2006,10,7.006,7.016,7.041,6.991,
2006,11,6.985,7.016,7.041,6.991,
2006,12,7.002,7.016,7.041,6.992,
2007,1,6.976,7.017,7.042,6.992,
2007,2,6.991,7.017,7.042,6.992,
2007,3,7.045,7.017,7.042,6.992,
2007,4,7.090,7.018,7.043,6.993,
2007,5,7.067,7.018,7.043,6.993,
2007,6,7.068,7.018,7.044,6.993,
2007,7,7.065,7.019,7.044,6.994,
2007,8,7.019,7.019,7.044,6.994,
2007,9,7.001,7.019,7.045,6.994,
2007,10,7.059,7.020,7.045,6.994,
2007,11,7.068,7.020,7.045,6.995,
2007,12,7.038,7.020,7.046,6.995,
2008,1,7.110,7.021,7.046,6.995,
2008,2,7.113,7.021,7.046,6.996,
2008,3,7.038,7.021,7.047,6.996,
2008,4,7.026,7.022,7.047,6.996,
2008,5,7.014,7.022,7.048,6.997,
2008,6,7.018,7.022,7.048,6.997,
2008,7,7.023,7.023,7.048,6.997,
2008,8,6.985,7.023,7.049,6.997,
2008,9,6.987,7.023,7.049,6.998,
2008,10,6.985,7.024,7.049,6.998,
2008,11,6.983,7.024,7.050,6.998,
2008,12,7.021,7.024,7.050,6.998,
2009,1,7.069,7.025,7.051,6.999,
2009,2,7.075,7.025,7.051,6.999,
2009,3,7.036,7.025,7.051,6.999,
2009,4,7.038,7.026,7.052,7.000,
2009,5,7.023,7.026,7.052,7.000,
2009,6,6.989,7.026,7.052,7.000,
2009,7,6.937,7.027,7.053,7.000,
2009,8,6.986,7.027,7.053,7.001,
2009,9,7.021,7.027,7.054,7.001,
2009,10,6.984,7.028,7.054,7.001,
2009,11,6.999,7.028,7.054,7.002,
2009,12,6.995,7.028,7.055,7.002,
2010,1,6.981,7.029,7.055,7.002,
2010,2,6.794,7.029,7.055,7.002,
2010,3,6.723,7.029,7.056,7.003,
2010,4,6.882,7.030,7.056,7.003,
2010,5,7.011,7.030,7.057,7.003,
2010,6,7.042,7.030,7.057,7.004,
2010,7,7.052,7.031,7.057,7.004,
2010,8,7.065,7.031,7.058,7.004,
2010,9,6.995,7.031,7.058,7.004,
2010,10,7.091,7.032,7.058,7.005,
2010,11,7.026,7.032,7.059,7.005,
2010,12,7.093,7.032,7.059,7.005,
2011,1,7.089,7.032,7.060,7.005,
2011,2,7.016,7.033,7.060,7.006,
2011,3,7.034,7.033,7.060,7.006,
2011,4,6.987,7.033,7.061,7.006,
2011,5,6.992,7.034,7.061,7.007,
2011,6,7.025,7.034,7.061,7.007,
2011,7,7.017,7.034,7.062,7.007,
2011,8,7.046,7.035,7.062,7.007,
2011,9,7.043,7.035,7.063,7.008,
2011,10,7.069,7.035,7.063,7.008,
2011,11,7.032,7.036,7.063,7.008,
2011,12,7.043,7.036,7.064,7.008,
2012,1,7.055,7.036,7.064,7.009,
2012,2,7.067,7.037,7.065,7.009,
2012,3,7.061,7.037,7.065,7.009,
2012,4,7.019,7.037,7.065,7.010,
2012,5,6.966,7.038,7.066,7.010,
2012,9,6.998,7.039,7.067,7.011,
2012,10,6.974,7.039,7.068,7.011,
2012,11,6.993,7.040,7.068,7.011,
2012,12,7.017,7.040,7.068,7.012,
2013,1,7.078,7.040,7.069,7.012,
2013,2,7.070,7.041,7.069,7.012,
2013,3,7.095,7.041,7.070,7.012,
2013,4,7.070,7.041,7.070,7.013,
2013,5,7.074,7.042,7.070,7.013,
2013,6,7.082,7.042,7.071,7.013,
2013,7,7.053,7.042,7.071,7.014,
2013,8,7.013,7.043,7.071,7.014,
2013,9,7.031,7.043,7.072,7.014,
2013,10,6.987,7.043,7.072,7.014,
2013,11,6.962,7.044,7.073,7.015,
2013,12,6.968,7.044,7.073,7.015,
2014,1,7.021,7.044,7.073,7.015,
2014,2,7.030,7.045,7.074,7.015,
2014,3,7.036,7.045,7.074,7.016,
2014,4,7.008,7.045,7.075,7.016,
2014,5,7.072,7.046,7.075,7.016,
2014,6,7.106,7.046,7.075,7.016,
2014,7,7.098,7.046,7.076,7.017,
2014,8,7.042,7.047,7.076,7.017,
2014,9,7.072,7.047,7.077,7.017,
2014,10,7.100,7.047,7.077,7.017,
2014,11,7.088,7.048,7.077,7.018,
2014,12,7.090,7.048,7.078,7.018,
2015,1,7.077,7.048,7.078,7.018,
2015,2,7.100,7.049,7.079,7.018,
2015,3,7.087,7.049,7.079,7.019,
2015,4,7.023,7.049,7.079,7.019,
2015,5,7.114,7.049,7.080,7.019,
2015,6,7.097,7.050,7.080,7.020,
2015,7,7.064,7.050,7.081,7.020,
2015,8,7.004,7.050,7.081,7.020,
2015,9,7.017,7.051,7.081,7.020,
2015,10,7.037,7.051,7.082,7.021,
2015,11,7.020,7.051,7.082,7.021,
2015,12,6.998,7.052,7.082,7.021,
2016,1,6.818,7.052,7.083,7.021,
2016,2,6.859,7.052,7.083,7.022,
2016,3,6.890,7.053,7.084,7.022,
2016,4,6.937,7.053,7.084,7.022,
2016,5,6.976,7.053,7.084,7.022,
2016,6,7.023,7.054,7.085,7.023,
2016,7,7.011,7.054,7.085,7.023,
2016,8,7.036,7.054,7.086,7.023,
2016,9,7.085,7.055,7.086,7.023,
2016,10,7.062,7.055,7.086,7.024,
2016,11,7.050,7.055,7.087,7.024,
2016,12,7.080,7.056,7.087,7.024,
2017,1,7.064,7.056,7.088,7.024,
2017,2,7.109,7.056,7.088,7.025,
2017,3,7.109,7.057,7.088,7.025,
2017,4,7.052,7.057,7.089,7.025,
2017,5,7.049,7.057,7.089,7.025,
2017,6,7.000,7.058,7.090,7.026,
2017,7,7.014,7.058,7.090,7.026,
2017,8,7.051,7.058,7.090,7.026,
2017,9,7.024,7.059,7.091,7.026,
2017,11,7.034,7.059,7.092,7.027,
2017,12,7.100,7.060,7.092,7.027,
2018,1,7.119,7.060,7.092,7.027,
2018,2,7.123,7.060,7.093,7.028,
2018,3,7.157,7.061,7.093,7.028,
2018,4,7.136,7.061,7.094,7.028,
2018,5,7.121,7.061,7.094,7.028,
2018,6,7.148,7.062,7.094,7.029,
2018,7,7.125,7.062,7.095,7.029,
2018,8,7.118,7.062,7.095,7.029,
2018,9,7.127,7.063,7.096,7.029,
2018,10,7.088,7.063,7.096,7.030,
2018,11,7.047,7.063,7.096,7.030,
2018,12,7.091,7.064,7.097,7.030,
2019,1,7.092,7.064,7.097,7.030,
2019,2,7.047,7.064,7.098,7.031,
2019,3,6.996,7.065,7.098,7.031,
2019,4,7.077,7.065,7.098,7.031,
2019,5,7.103,7.065,7.099,7.031,
2019,6,7.123,7.066,7.099,7.032,
2019,7,7.099,7.066,7.100,7.032,
2019,11,7.083,7.067,7.101,7.033,
2019,12,7.101,7.067,7.102,7.033,
2020,1,7.089,7.068,7.102,7.033,
2020,2,7.095,7.068,7.103,7.034,
2020,3,7.128,7.068,7.103,7.034,
2020,4,7.143,7.069,7.103,7.034,
2020,5,7.129,7.069,7.104,7.034,
2020,6,7.099,7.069,7.104,7.035,
2020,7,7.084,7.070,7.105,7.035,
2020,8,7.071,7.070,7.105,7.035,
2020,9,7.128,7.070,7.105,7.035,
2020,10,7.125,7.071,7.106,7.036,
2020,11,7.095,7.071,7.106,7.036,
2020,12,7.126,7.071,7.107,7.036,
2021,1,7.148,7.072,7.107,7.036,
2021,2,7.184,7.072,7.107,7.037,
2021,3,7.115,7.072,7.108,7.037,
2021,4,7.044,7.073,7.108,7.037,
2021,5,7.058,7.073,7.109,7.037,
2021,6,7.058,7.073,7.109,7.038,
2021,7,7.109,7.074,7.109,7.038,
2021,8,7.068,7.074,7.110,7.038,
2021,9,7.104,7.074,7.110,7.038,
2021,10,7.098,7.075,7.111,7.039,
2021,11,7.055,7.075,7.111,7.039,
2021,12,7.078,7.075,7.111,7.039,
2022,1,7.133,7.076,7.112,7.039,
2022,2,7.132,7.076,7.112,7.040,
2022,3,7.083,7.076,7.113,7.040,
2022,4,7.131,7.077,7.113,7.040,
2022,5,7.104,7.077,7.114,7.040,
2022,6,7.045,7.077,7.114,7.041,
2022,7,7.083,7.078,7.114,7.041,
2022,8,7.075,7.078,7.115,7.041,
2022,9,7.073,7.078,7.115,7.041,
2022,10,7.100,7.079,7.116,7.042,
2022,11,7.099,7.079,7.116,7.042,
2022,12,7.104,7.079,7.116,7.042,
2023,1,7.117,7.080,7.117,7.042,
